red_freq, green_freq, blue_freq, value
119,131,129,2000
129,148,129,2000
129,148,129,2000
113,123,111,2000
113,123,111,2000
108,112,98,2000
108,112,98,2000
98,113,117,2000
98,113,117,2000
113,127,122,2000
113,127,122,2000
110,105,94,2000
110,105,94,2000
98,95,85,2000
98,95,85,2000
72,69,68,2000
72,69,68,2000
71,99,117,2000
71,99,117,2000
77,97,95,2000
77,97,95,2000
98,102,104,2000
98,102,104,2000
120,145,77,2000
120,145,77,2000
107,115,104,2000
107,115,104,2000
79,119,100,2000
79,119,100,2000
92,99,60,2000
92,99,60,2000
83,98,93,2000
83,98,93,2000
92,98,112,2000
92,98,112,2000
107,110,109,2000
107,110,109,2000
109,121,116,2000
109,121,116,2000
112,102,90,2000
112,102,90,2000
89,103,81,2000
89,103,81,2000
78,98,107,2000
78,98,107,2000
110,121,93,2000
110,121,93,2000
82,117,114,2000
82,117,114,2000
106,114,107,2000
106,114,107,2000
92,97,100,2000
92,97,100,2000
109,124,114,2000
109,124,114,2000
105,112,115,2000
105,112,115,2000
108,119,110,2000
108,119,110,2000
98,100,105,2000
98,100,105,2000
93,83,96,2000
93,83,96,2000
93,114,108,2000
93,114,108,2000
105,113,106,2000
105,113,106,2000
103,104,106,2000
103,104,106,2000
103,111,106,2000
103,111,106,2000
101,111,106,2000
101,111,106,2000
103,108,102,2000
103,108,102,2000
105,110,113,2000
105,110,113,2000
104,112,112,2000
104,112,112,2000
110,120,118,2000
110,120,118,2000
111,114,85,2000
111,114,85,2000
82,109,116,2000
82,109,116,2000
99,99,98,2000
99,99,98,2000
107,118,110,2000
107,118,110,2000
100,108,106,2000
100,108,106,2000
106,117,117,2000
106,117,117,2000
112,106,104,2000
112,106,104,2000
98,109,112,2000
98,109,112,2000
101,115,104,2000
101,115,104,2000
92,99,101,2000
92,99,101,2000
107,115,108,2000
107,115,108,2000
106,110,104,2000
106,110,104,2000
105,111,117,2000
105,111,117,2000
108,112,105,2000
108,112,105,2000
96,103,106,2000
96,103,106,2000
103,110,104,2000
103,110,104,2000
97,117,97,2000
97,117,97,2000
92,103,112,2000
92,103,112,2000
111,111,107,2000
111,111,107,2000
108,119,113,2000
108,119,113,2000
110,116,116,2000
110,116,116,2000
96,99,94,2000
96,99,94,2000
98,101,89,2000
98,101,89,2000
71,86,93,2000
71,86,93,2000
88,92,91,2000
88,92,91,2000
93,107,106,2000
93,107,106,2000
100,102,108,2000
100,102,108,2000
100,97,105,2000
100,97,105,2000
111,113,108,2000
111,113,108,2000
104,118,108,2000
104,118,108,2000
108,121,117,2000
108,121,117,2000
102,122,111,2000
102,122,111,2000
105,114,108,2000
105,114,108,2000
104,113,100,2000
104,113,100,2000
103,104,114,2000
103,104,114,2000
104,109,107,2000
104,109,107,2000
113,115,114,2000
113,115,114,2000
115,119,103,2000
115,119,103,2000
104,112,115,2000
104,112,115,2000
106,120,120,2000
106,120,120,2000
112,113,104,2000
112,113,104,2000
100,115,121,2000
100,115,121,2000
105,112,101,2000
105,112,101,2000
105,108,102,2000
105,108,102,2000
97,103,89,2000
97,103,89,2000
90,120,104,2000
90,120,104,2000
106,109,114,2000
